,0,1,2
0,490018704W,-0.179115,51.494997
1,490000212E1,-0.174138,51.494094
2,490010603S,-0.172266,51.492274
3,490015421S,-0.173725,51.490723
4,490006514S,-0.176486,51.488698
5,490003726W2,-0.178703,51.487284
6,490005074S,-0.17677,51.485546
7,490015145S,-0.175079,51.483874
8,490005152S,-0.173979,51.482571
9,490010771S,-0.169233,51.47774
10,490010979S,-0.167592,51.475924
11,490013443W1,-0.164162,51.472409
12,490004568W,-0.169353,51.471132
13,490003687W2,-0.172752,51.470043
14,490006722S,-0.170614,51.468049
15,490009843G,-0.169531,51.466324
16,490005332H,-0.168997,51.463724
17,490009008K,-0.163106,51.464281
18,490010524E,-0.161406,51.46465
19,490013681E,-0.155132,51.465648
20,490011360E,-0.151954,51.466282
21,490005919S,-0.14996,51.464317
22,490004912S,-0.149217,51.462057
23,490011673E,-0.144957,51.461306
