,0,1,2
0,490006305H,-0.195835,51.495148
1,490010187K,-0.194453,51.49331
2,490000064A,-0.193378,51.492063
3,490015228L,-0.190744,51.490195
4,490004138E,-0.186559,51.4904
5,490005754E,-0.184338,51.490825
6,490015071E,-0.181014,51.491088
7,490010600E,-0.17887,51.491756
8,490000212E,-0.174138,51.494094
9,490004436C,-0.169841,51.496346
10,490004437E,-0.167306,51.497772
11,490007841KB,-0.163666,51.499459
12,490000130KD,-0.160508,51.501669
13,490000130K2,-0.159915,51.500633
14,490011097S,-0.158948,51.496742
15,490015175C,-0.156377,51.49227
16,490000206D,-0.156377,51.49227
17,490006394S,-0.153339,51.494738
18,490014051Y,-0.149216,51.492668
19,490006404W,-0.147352,51.49351
20,490000248N2,-0.14513,51.496443
