,0,1,2
0,490010471Z,-0.183322,51.548244
1,490011854C,-0.186303,51.547993
2,490007045FH,-0.180492,51.547948
3,490000082FJ,-0.179845,51.546825
4,490005487B,-0.175653,51.544528
5,490000230D,-0.174894,51.543681
6,490004185S,-0.175688,51.539331
7,490011336S,-0.176136,51.536784
8,490005318C,-0.173948,51.534521
9,490004883E,-0.174221,51.532393
10,490007557W,-0.175567,51.531173
11,490015574D,-0.180421,51.528757
12,490007679R,-0.180756,51.527971
13,490005427W2,-0.179471,51.525469
14,490000253H,-0.183783,51.523263
15,490004990W,-0.188905,51.52423
16,490006471W,-0.199177,51.524757
17,490005188W,-0.19653,51.527549
18,490006901N,-0.20162,51.528967
19,490004806N,-0.202982,51.532477
20,490013353E,-0.204882,51.534443
21,490003125W,-0.211338,51.531885
22,490003577W,-0.216127,51.531104
23,490001161N,-0.219957,51.534554
24,490001161N1,-0.220115,51.535319
25,490009148W,-0.221664,51.536637
26,490005496W,-0.227436,51.535781
27,490003255S,-0.230217,51.536209
28,490003257S2,-0.233379,51.533847
29,490007067N,-0.236605,51.534705
30,490014969L,-0.240203,51.536746
31,490010792D,-0.244452,51.53574
32,490014690S,-0.248518,51.535729
33,490006717W,-0.253538,51.53682
34,490000100S,-0.257774,51.536305
35,490014319S,-0.258616,51.534872
36,490010316S,-0.26003,51.532177
37,490005905S,-0.259426,51.52912
38,490012530K,-0.263776,51.528096
39,490015414G,-0.268507,51.529542
40,490004925A,-0.266204,51.530578
