,0,1,2
0,490003375WL,-0.223694,51.508567
1,490000203D,-0.219213,51.504791
2,490013928S,-0.215394,51.503756
3,490009406S,-0.213441,51.502108
4,490011812S,-0.210654,51.500428
5,490012632K,-0.206748,51.498993
6,490003106E,-0.203175,51.497526
7,490005528Y,-0.199279,51.498771
8,490005528V,-0.198277,51.498611
9,490006305H,-0.195835,51.495148
10,490004436C,-0.169841,51.496346
11,490004437E,-0.167306,51.497772
12,490007841KB,-0.163666,51.499459
13,490000130KD,-0.160508,51.501669
14,490000130K2,-0.159915,51.500633
15,490011097S,-0.158948,51.496742
16,490000248N2,-0.14513,51.496443
