,0,1,2
0,490004733C,-0.049667,51.498053
1,490011723E,-0.05159,51.495358
2,490012367W,-0.077665,51.495374
3,490007362S,-0.082327,51.496188
4,490015272BJ,-0.083955,51.495154
5,490009281A,-0.102003,51.496634
6,490012693N1,-0.108173,51.498613
7,490013485N,-0.108752,51.501338
8,490000254K,-0.113356,51.504269
9,490014270P,-0.115004,51.506259
10,490008932T,-0.118935,51.510522
11,490003191F,-0.117948,51.513141
12,490000112P,-0.120475,51.51758
13,490006203RA,-0.12384,51.516364
14,490000235N,-0.130888,51.516018
