,0,1,2
0,490002033Z,-0.002326,51.509359
1,490000804Z,-0.004902,51.507801
2,490004005S,-0.010476,51.506205
3,490017847W,-0.013984,51.504403
4,490000038J,-0.019038,51.504488
5,490000038G,-0.019121,51.503734
6,490014483E,-0.025178,51.505455
7,490014457B,-0.026823,51.505411
8,490014459B,-0.026848,51.509161
9,490011878N,-0.026923,51.510107
10,490014484N,-0.027143,51.511001
11,490009160W,-0.030996,51.512235
12,490009403W,-0.034713,51.512594
13,490001180W,-0.039799,51.512469
14,490004657S,-0.041986,51.511358
15,490007010W,-0.04623,51.510196
16,490008736S,-0.050722,51.509273
17,490011246W,-0.050848,51.507683
18,490014211S,-0.054303,51.505394
19,490000251W,-0.055931,51.504388
20,490014209N,-0.05868,51.505808
21,490013687K,-0.058862,51.509336
22,490000202A,-0.056782,51.511492
23,490012020B,-0.058559,51.511039
24,490004757N,-0.061288,51.511588
25,490005523N,-0.061878,51.513639
26,490009278L,-0.060429,51.518921
27,490009989N,-0.063728,51.519992
28,490006720N,-0.064399,51.522521
29,490014330SF,-0.064338,51.524975
