,0,1,2
0,490013485S1,-0.109085,51.50129
1,490012693S2,-0.108173,51.498613
2,490009281D,-0.102226,51.496818
3,490000073R,-0.099185,51.494505
4,490008975S,-0.096959,51.490446
5,490006380E,-0.095145,51.486955
6,490014501K,-0.094085,51.484042
7,490003138N,-0.094353,51.48142
8,490004221S,-0.094191,51.479772
9,490009784B,-0.09402,51.476622
10,490004687P,-0.093076,51.473369
11,490005464V,-0.093005,51.471273
12,490008764H3,-0.092338,51.469311
13,490001083H7,-0.089361,51.468203
14,490015829S,-0.086277,51.467917
15,490004972S,-0.085939,51.467048
16,490006094S,-0.084488,51.465253
17,490015830S,-0.081411,51.462766
18,490001090S,-0.080572,51.461494
19,490010595F,-0.076112,51.461429
20,490005723K,-0.074991,51.459324
21,490010346S,-0.075241,51.458168
22,490006335S,-0.07681,51.4551
23,490008041S,-0.077466,51.453187
24,490005874S,-0.075954,51.450797
25,490006232S,-0.073711,51.448359
26,490013919S,-0.072021,51.446461
27,490010671S,-0.069778,51.44503
28,490007586S,-0.068032,51.443778
29,490009362S1,-0.065756,51.441807
30,490008350E,-0.062656,51.440587
31,490001112A,-0.055372,51.439648
32,490000866Y,-0.055115,51.43655
33,490013646S,-0.055554,51.435685
34,490013131S,-0.059195,51.432967
35,490013125S,-0.060678,51.431921
36,490010871S,-0.058864,51.429913
37,490005453F,-0.055268,51.427375
38,490005766B,-0.056943,51.425672
39,490005580S,-0.059244,51.42161
40,490012397S,-0.059409,51.421109
41,490009025S,-0.061335,51.419117
42,490001225C,-0.058934,51.417738
43,490010905D,-0.053683,51.415726
44,490010906F,-0.052146,51.414667
45,490015419H,-0.052551,51.41327
