,0,1,2
0,490007494PA,0.089527,51.352261
1,490023097W,0.085463,51.34879
2,490009337Z,0.074047,51.317319
3,490005891Z,0.08011,51.339362
4,490012213Z,0.078149,51.336636
5,490000439Z,0.075057,51.33303
6,490000438Z,0.073002,51.327257
7,490005266Z,0.071116,51.321067
8,490000436Z,0.072508,51.31884
9,490000437Z,0.074096,51.317139
10,490004077Z,0.075207,51.315365
11,490005889Z,0.076557,51.312527
12,490008370Z,0.08086,51.308358
13,490000435Z,0.082979,51.305416
14,2400107805,0.086582,51.300704
15,2400A008580A,0.08973,51.303049
16,2400107803,0.091964,51.303917
17,2400102383,0.096029,51.305607
18,2400107799,0.101914,51.307849
19,2400A008590A,0.104143,51.309851
20,2400107795,0.110323,51.312572
21,2400107791,0.116237,51.313859
22,2400A008610A,0.124491,51.316399
23,2400A008620A,0.126662,51.318671
24,2400107781,0.129662,51.322087
25,2400A008650A,0.131087,51.325569
26,2400107785,0.137389,51.331137
27,2400107787,0.136126,51.332087
28,2400A034700A,0.135115,51.330091
29,2400A034710A,0.131541,51.326082
30,2400107783,0.129889,51.322029
31,2400107847,0.127311,51.319657
32,2400107773,0.1213,51.324379
33,2400107769,0.117775,51.328859
34,490000432Y,0.11634,51.331986
35,490000431Y,0.11406,51.33736
36,490000430Y,0.111581,51.339968
37,490011165N,0.111109,51.34405
38,490005017W,0.102252,51.344425
39,490007495AB,0.089664,51.348967
40,490007494DC,0.089527,51.352261
41,490006755DE,0.089156,51.356422
42,490005748N,0.089184,51.360828
43,490010639N,0.091506,51.363251
44,490012592N,0.093341,51.364738
45,490013749N,0.095315,51.367383
46,490008209K,0.096812,51.371214
47,490015411L,0.097229,51.372483
48,490015411R,0.097714,51.373986
49,490010641X,0.100285,51.377087
50,490013818J,0.091449,51.371759
51,490001220G,0.089091,51.373296
