,0,1,2
0,490013655P,-0.103849,51.434075
1,490001331T,-0.10383,51.431748
2,490010444W,-0.103548,51.42952
3,490011726S,-0.104278,51.428912
4,490012969S,-0.104809,51.426861
5,490007066S,-0.105321,51.423883
6,490005839S,-0.106287,51.421723
7,490007430S,-0.106427,51.420421
8,490003992S,-0.105023,51.418915
9,490005559S,-0.100593,51.418223
10,490015337S,-0.098353,51.417098
11,490003959S,-0.092503,51.414242
12,490013929S,-0.086069,51.412672
13,490003242S,-0.087376,51.410984
14,490007344S,-0.086057,51.407779
15,490014227S,-0.085029,51.406917
16,490011718S,-0.083059,51.405554
17,490014601S,-0.081959,51.403666
18,490014621S,-0.083496,51.402315
19,490010818S,-0.085258,51.40041
20,490005424R,-0.091103,51.398149
21,490015026N,-0.092461,51.396607
22,490010868S,-0.093824,51.393554
23,490016652S,-0.094979,51.389975
24,490010343S,-0.096154,51.387638
25,490013376S,-0.09708,51.385756
26,490015451S,-0.09826,51.383275
27,490003793S,-0.099389,51.381369
28,490014420Z,-0.101939,51.378786
